Code service CH|Reference document|1 Articles CGI|2 Articles CGI|3 Articles CGI|4 Articles CGI|5 Articles CGI|No disposition|Date mutation|Nature mutation|Valeur fonciere|No voie|B/T/Q|Type de voie|Code voie|Voie|Code postal|Commune|Code departement|Code commune|Prefixe de section|Section|No plan|No Volume|1er lot|Surface Carrez du 1er lot|2eme lot|Surface Carrez du 2eme lot|3eme lot|Surface Carrez du 3eme lot|4eme lot|Surface Carrez du 4eme lot|5eme lot|Surface Carrez du 5eme lot|Nombre de lots|Code type local|Type local|Identifiant local|Surface reelle bati|Nombre pieces principales|Nature culture|Nature culture speciale|Surface terrain
|||||||000001|13/01/2020|Vente|1000,00||||B190|LES OLIVES|1380|BAGE-DOMMARTIN|01|25||C|1658||||||||||||0||||||P||3969
|||||||000001|15/01/2020|Vente|277400,00||||B003|LES CADALLES|1000|SAINT-DENIS-LES-BOURG|01|344||AC|47||||||||||||0||||||S||76
|||||||000001|15/01/2020|Vente|277400,00|5126|||B003|LES CADALLES|1000|SAINT-DENIS-LES-BOURG|01|344||AC|50||||||||||||0|1|Maison||107|5|S||1223
|||||||000001|15/01/2020|Vente|277400,00|5126|||B003|LES CADALLES|1000|SAINT-DENIS-LES-BOURG|01|344||AC|50||||||||||||0|1|Maison||107|5|J||861
|||||||000001|10/01/2020|Vente|90000,00||||B102|LA VIERGE|1240|LENT|01|211||D|586||||||||||||0||||||AB||700
|||||||000001|22/01/2020|Vente|62710,00||||B084|LE POISIAT|1370|BENY|01|38||ZB|27||||||||||||0||||||P||4816
|||||||000001|22/01/2020|Vente|62710,00|5067|||B084|LE POISIAT|1370|BENY|01|38||ZB|47||||||||||||0|1|Maison||91|2|S||4850
|||||||000001|17/01/2020|Vente|140000,00||||B088|LES ECHANEES|1380|BAGE-DOMMARTIN|01|25||B|1167||||||||||||0||||||P||765
|||||||000001|17/01/2020|Vente|140000,00|746||RTE|0210|DES CREUSES|1380|BAGE-DOMMARTIN|01|25||B|1170||||||||||||0|1|Maison||122|6|S||770
|||||||000001|17/01/2020|Vente|140000,00|746||RTE|0210|DES CREUSES|1380|BAGE-DOMMARTIN|01|25||B|1170||||||||||||0|1|Maison||122|6|T||3515
|||||||000001|22/01/2020|Vente|69000,00|||RUE|0064|DE LA CHARTREUSE|1960|PERONNAS|01|289||AI|230||||||||||||0||||||AB||590
|||||||000001|06/01/2020|Vente|18400,00||||B055|LA CROIX|1190|ARBIGNY|01|16||AC|122||||||||||||0||||||P||228
|||||||000001|06/01/2020|Vente|18400,00||||B057|LES CRUISES|1190|ARBIGNY|01|16||ZI|172||||||||||||0||||||P||566
|||||||000001|06/01/2020|Vente|18400,00||||B057|LES CRUISES|1190|ARBIGNY|01|16||ZI|173||||||||||||0||||||P||913
|||||||000001|17/01/2020|Vente|125000,00|47|B|AV|2420|MAGINOT|1000|BOURG-EN-BRESSE|01|53||AC|523||19|96,83|||||||||1|2|Appartement||98|3|||
|||||||000001|17/01/2020|Vente|125000,00|47|B|AV|2420|MAGINOT|1000|BOURG-EN-BRESSE|01|53||AC|523||33||||||||||1|3|Dépendance||0|0|||
|||||||000001|09/01/2020|Vente|45000,00||||B001|BAILLET|1190|BOZ|01|57||A|1258||||||||||||0||||||P||6199
|||||||000001|17/01/2020|Vente|105000,00|12||RUE|1070|DE CUIRON|1000|BOURG-EN-BRESSE|01|53||AV|44||165||||||||||1|3|Dépendance||0|0|||
|||||||000001|17/01/2020|Vente|105000,00|12||RUE|1070|DE CUIRON|1000|BOURG-EN-BRESSE|01|53||AV|44||150||185|77,24|190||||||3|2|Appartement||76|4|||
|||||||000001|17/01/2020|Vente|100000,00||||B005|LES BRUYERES|1960|PERONNAS|01|289||B|628||||||||||||0||||||T||7380
|||||||000001|17/01/2020|Vente|100000,00||||B005|LES BRUYERES|1960|PERONNAS|01|289||B|629||||||||||||0||||||J||443
|||||||000001|17/01/2020|Vente|100000,00|89||RTE|0155|DE LA FORET DE SEILLON|1960|PERONNAS|01|289||B|630||||||||||||0|1|Maison||114|4|S||3247
|||||||000001|17/01/2020|Vente|100000,00||||B005|LES BRUYERES|1960|PERONNAS|01|289||B|631||||||||||||0||||||P||5500
|||||||000001|17/01/2020|Vente|100000,00||||B005|LES BRUYERES|1960|PERONNAS|01|289||B|2699||||||||||||0||||||S||1860
|||||||000001|17/01/2020|Vente|100000,00||||B005|LES BRUYERES|1960|PERONNAS|01|289||B|2699||||||||||||0||||||P||7893
|||||||000001|17/01/2020|Vente|100000,00||||B005|LES BRUYERES|1960|PERONNAS|01|289||B|2702||||||||||||0||||||P||435
|||||||000001|17/01/2020|Vente|100000,00||||B005|LES BRUYERES|1960|PERONNAS|01|289||B|2704||||||||||||0||||||T||132
|||||||000001|20/01/2020|Vente|67000,00|30|B|RUE|3740|DU 23EME R.I.|1000|BOURG-EN-BRESSE|01|53||AB|362||19|37,21|||||||||1|2|Appartement||38|2|||
|||||||000001|20/01/2020|Vente|8000,00|4||PL|3090|PIERRE GOUJON|1000|BOURG-EN-BRESSE|01|53||AD|483||65||||||||||1|3|Dépendance||0|0|||
|||||||000001|20/01/2020|Vente|42000,00|39||AV|0200|ALSACE LORRAINE|1000|BOURG-EN-BRESSE|01|53||AN|187||137||||||||||1|3|Dépendance||0|0|||
|||||||000001|20/01/2020|Vente|42000,00|37||AV|0200|ALSACE LORRAINE|1000|BOURG-EN-BRESSE|01|53||AN|187||151||||||||||1||||||S||6
|||||||000001|20/01/2020|Vente|42000,00|39||AV|0200|ALSACE LORRAINE|1000|BOURG-EN-BRESSE|01|53||AN|187||112||149|58,78|||||||2|2|Appartement||33|1|||
|||||||000001|20/01/2020|Vente|299000,00|32||RUE|2520|MAL FOCH|1000|BOURG-EN-BRESSE|01|53||AD|186||||||||||||0|2|Appartement||74|3|S||216
|||||||000001|20/01/2020|Vente|299000,00|32||RUE|2520|MAL FOCH|1000|BOURG-EN-BRESSE|01|53||AD|186||||||||||||0|4|Local industriel. commercial ou assimilé||250|0|S||216
|||||||000001|20/01/2020|Vente|299000,00|32||RUE|2520|MAL FOCH|1000|BOURG-EN-BRESSE|01|53||AD|186||||||||||||0|2|Appartement||37|2|S||216
|||||||000001|20/01/2020|Vente|299000,00|32||RUE|2520|MAL FOCH|1000|BOURG-EN-BRESSE|01|53||AD|186||||||||||||0|2|Appartement||65|3|S||216
|||||||000001|14/01/2020|Vente|818,00||||B051|CHAMP DE CHAMPAGNE|1440|VIRIAT|01|451||D|300||||||||||||0||||||T||1480
|||||||000001|14/01/2020|Vente|818,00||||B051|CHAMP DE CHAMPAGNE|1440|VIRIAT|01|451||D|325||||||||||||0||||||T||2610
|||||||000001|22/01/2020|Vente|480000,00|5203|||B015|CHAMP VARY|1240|CERTINES|01|69||ZE|179||||||||||||0|4|Local industriel. commercial ou assimilé||1408|0|S||4249
